TC#,Section,Test Case,Steps,Expected Result,Status(PASS/FAIL/BLOCKED),mock data,Cross-Module Link,Settings need to set before entering to the module,Actual Result(What happened),Console Error(Copy-paste red text),Screenshot(Y/N),Notes,Journey Scenario,Why This Exists,Test Type,Role/Login,Supabase Verify,Playwright Spec,Defect ID
TC-P1D-001,1D Staff Logins,Enable Login creates a working account,1) Settings > Staff 2) Select Dr. Suresh Menon 3) Enable Login with +qa.doctor.a 4) Save 5) Log in as that user,Account created and login succeeds.,,#NAME?,All,Staff created,,,,Uses the create-staff-login edge function,P1-Setup,Every clinical action must be attributable to a named person. Shared logins destroy the audit trail and fail NABH.,Positive,hospital_admin A,users - auth_user_id populated,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-002,1D Staff Logins,New staff user gets the correct hospital_id,1) After TC-P1D-001 2) Query the users row,hospital_id matches Hospital A.,,#NAME?,All - RLS anchor,Staff created,,,,users.hospital_id is what every RLS policy keys off,P1-Setup,This one column decides everything that user can ever see. Wrong and they either see nothing or see another hospital's patients.,Positive,hospital_admin A,users.hospital_id,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-003,1D Staff Logins,Create all 17 Hospital A logins,1) Enable Login for every staff member in the Mock Data Book Hospital A table,All 17 accounts created and each can log in.,,17 Hospital A logins,All,Staff created,,,,Required before Section 1E can run,P1-Setup,The RBAC matrix cannot be tested without one real login per role.,Positive,hospital_admin A,users - 17 rows with auth_user_id,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-004,1D Staff Logins,Create the 3 Hospital B logins,1) As Hospital B admin enable login for its doctor and receptionist,3 accounts for Hospital B.,,3 Hospital B logins,Isolation,Hospital B onboarded,,,,,P1-Setup,"Isolation testing needs a real logged-in user on the other side, not just data.",Positive,hospital_admin B,users WHERE hospital_id = B,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-005,1D Staff Logins,Duplicate email is rejected,1) Try to enable login for a second staff member with +qa.doctor.a,Rejected as already in use.,,#NAME?,,Staff created,,,,,P1-Setup,Two staff sharing one email means one of them can reset the other's password.,Negative,hospital_admin A,users,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-006,1D Staff Logins,Role can be changed after creation,1) Change a staff member's role from nurse to receptionist 2) Have them log in again,New role applies and the visible navigation changes.,,#NAME?,All,Staff created,,,,Change it back afterwards,P1-Setup,"Staff move between departments. A role that cannot be changed means deleting and recreating the user, losing their audit history.",Positive,hospital_admin A,users.role,MANUAL-ONLY,
TC-P1D-007,1D Staff Logins,Staff can be deactivated,1) Set a staff member inactive 2) Verify they cannot log in,Deactivation is immediate and effective.,,#NAME?,All,Staff created,,,,,P1-Setup,Offboarding must actually remove access on the day it happens.,Positive,hospital_admin A,users.is_active,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-008,1D Staff Logins,Reactivated staff can log in again,1) Reactivate the user from TC-P1D-007 2) Log in,Access restored.,,#NAME?,,Staff created,,,,,P1-Setup,Staff return from long leave - reactivation must work without recreating the account.,Positive,hospital_admin A,users.is_active,MANUAL-ONLY,
TC-P1D-009,1D Staff Logins,Staff list is scoped to the hospital,1) As Hospital A admin open Settings > Staff 2) Search for Hospital B staff names,Only Hospital A staff are listed. No Hospital B user appears.,,Dr. Rohan Kulkarni (B),Isolation,Both hospitals staffed,,,,,P1-Setup,"Seeing another hospital's staff list is itself a data leak, before you even reach patients.",Negative,hospital_admin A,users filtered by hospital_id,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-010,1D Staff Logins,Staff profile fields save,"1) Add qualification, registration number and department to a doctor 2) Save",All fields persisted.,,MBBS MD / TSMC-12345,HR - credentialing,Staff created,,,,,P1-Setup,NABH requires proof that the doctor performing a procedure is registered and qualified to do it.,Positive,hospital_admin A,staff_profiles,MANUAL-ONLY,
TC-P1D-011,1D Staff Logins,Doctor creation also creates a consultation fee row,1) Create a new doctor with a fee of Rs 600 2) Check service_master,A consultation row exists for that doctor at Rs 600.,,Rs 600,OPD billing,Departments created,,,,,P1-Setup,A doctor with no fee row causes the hardcoded Rs 500 fallback for every one of their patients.,Positive,hospital_admin A,service_master WHERE doctor_id,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-012,1D Staff Logins,Password reset for a staff member,1) Admin triggers a password reset for a staff member,Reset email sent to that staff member.,,#NAME?,,Staff created,,,,,P1-Setup,Ward staff forget passwords weekly. The admin needs to fix it without calling you.,Positive,hospital_admin A,None,MANUAL-ONLY,
TC-P1D-013,1D Staff Logins,Non-admin cannot open Settings > Staff,1) Log in as +qa.nurse.a 2) Navigate to /settings/staff,Blocked or redirected.,,#NAME?,,Staff created,,,,,P1-Setup,A nurse who can create logins can create an admin account for themselves.,RBAC,nurse A,None,e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-014,1D Staff Logins,Staff count reflects the plan limit,1) Check whether the plan caps user count 2) Attempt to exceed it if capped,Either enforced with a clear message or documented as uncapped.,,17 users,Settings - Plan,Plan set,,,,,P1-Setup,"If seats are part of your pricing, an unenforced limit is revenue you never collect.",Boundary,hospital_admin A,hospital_subscriptions,MANUAL-ONLY,
TC-P1D-015,1D Staff Logins,Roles offered match the app_role enum,1) Open the role dropdown when creating a staff member 2) List every option offered,Compare against the 16 enum values in the Mock Data Book.,,role dropdown,All,Staff screen,,,,See the Mock Data Book warning - 32 roles are used in routing but are not in the enum,P1-Setup,"Modules like Blood Bank and Dialysis name a specialist role as their user, but that role cannot be created. Confirm whether this is intended before logging it.",Negative,hospital_admin A,SELECT unnest(enum_range(NULL::app_role)),e2e/phase-01-foundation/P1D.staff-logins.spec.ts,
TC-P1D-016,1D Staff Logins,Creating a role outside the enum fails cleanly,"1) If the UI offers a role such as quality_officer, select it and save","Either it saves via a permission blob rather than the enum, or it errors. It must not fail silently leaving a user with no role.",,quality_officer,All,Staff screen,,,,Related to TC-P1D-015,P1-Setup,"A user saved with no usable role can log in and see nothing, which looks like a broken product.",Negative,hospital_admin A,users.role,MANUAL-ONLY,
TC-P1E-001,1E RBAC,hospital_admin reaches all core routes,1) Log in as +qa.admin.a 2) Visit /dashboard /patients /opd /ipd /lab /radiology /pharmacy /billing /accounts /insurance /hr /inventory /settings,All load. hospital_admin is a bypass role.,,#NAME?,All,All staff created,,,,"BYPASS_ROLES = super_admin, hospital_admin",P1-Setup,The admin is the person who configures everything. Blocking them anywhere makes the hospital unusable.,Positive,hospital_admin A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-002,1E RBAC,doctor reaches clinical routes,1) Log in as +qa.doctor.a 2) Visit /dashboard /opd /ipd /patients /lab /radiology /schedule,All load.,,#NAME?,Clinical,All staff created,,,,,P1-Setup,A doctor blocked from the OPD queue cannot see patients.,Positive,doctor A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-003,1E RBAC,doctor is blocked from /hr,1) As +qa.doctor.a navigate to /hr,Blocked or redirected. Payroll data never renders.,,#NAME?,HR,All staff created,,,,,P1-Setup,A doctor seeing every colleague's salary is a serious HR incident.,RBAC,doctor A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-004,1E RBAC,doctor is blocked from /accounts,1) As +qa.doctor.a navigate to /accounts,Blocked or redirected.,,#NAME?,Accounts,All staff created,,,,,P1-Setup,The hospital's P&L is not clinical information.,RBAC,doctor A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-005,1E RBAC,doctor is blocked from /settings,1) As +qa.doctor.a navigate to /settings,Blocked. Only /settings/profile is reachable as a core route.,,#NAME?,Settings,All staff created,,,,coreRoutes includes /settings/profile for everyone,P1-Setup,A doctor who can change consultation fees or permissions can change their own pay and access.,RBAC,doctor A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-006,1E RBAC,nurse reaches nursing and clinical routes,1) As +qa.nurse.a visit /dashboard /nursing /ipd /patients,All load.,,#NAME?,Clinical,All staff created,,,,,P1-Setup,Nurses are the heaviest users of the system.,Positive,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-007,1E RBAC,nurse is blocked from /billing /accounts /hr,1) As +qa.nurse.a try each route,All blocked.,,#NAME?,Finance HR,All staff created,,,,,P1-Setup,Clinical staff must not be able to alter bills - it removes the separation between care and money.,RBAC,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-008,1E RBAC,receptionist reaches front-desk routes,1) As +qa.reception.a visit /dashboard /patients /opd /schedule,All load.,,#NAME?,Patients OPD,All staff created,,,,,P1-Setup,The front desk is the entry point for every patient.,Positive,receptionist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-009,1E RBAC,receptionist is blocked from /ipd /lab /pharmacy /accounts,1) As +qa.reception.a try each,All blocked.,,#NAME?,Clinical Finance,All staff created,,,,,P1-Setup,Front-desk staff have no clinical training and no reason to see ward or lab data.,RBAC,receptionist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-010,1E RBAC,pharmacist reaches /pharmacy,1) As +qa.pharmacist.a visit /pharmacy,Loads with both IP and retail modes.,,#NAME?,Pharmacy,All staff created,,,,,P1-Setup,Pharmacy is the pharmacist's only workplace in the app.,Positive,pharmacist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-011,1E RBAC,pharmacist is blocked from /ipd /billing /hr,1) As +qa.pharmacist.a try each,All blocked.,,#NAME?,IPD Finance,All staff created,,,,,P1-Setup,A pharmacist who can edit bills can adjust the price of what they dispensed.,RBAC,pharmacist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-012,1E RBAC,lab_technician reaches /lab,1) As +qa.labtech.a visit /lab,Loads.,,#NAME?,Lab,All staff created,,,,,P1-Setup,Lab staff need the lab.,Positive,lab_technician A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-013,1E RBAC,lab_tech role also reaches /lab,1) As +qa.labtech2.a (role lab_tech) visit /lab,Loads. Both lab_tech and lab_technician are permitted.,,#NAME?,Lab,All staff created,,,,Two enum values exist for the same job - worth confirming this is deliberate,P1-Setup,"Two roles meaning the same thing is a maintenance trap - if one is missed in a permission update, half your lab staff lose access.",Positive,lab_tech A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-014,1E RBAC,lab_technician is blocked from /radiology /billing,1) As +qa.labtech.a try each,Blocked.,,#NAME?,Radiology Finance,All staff created,,,,,P1-Setup,Lab and radiology are separate departments with separate staff.,RBAC,lab_technician A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-015,1E RBAC,radiologist reaches /radiology,1) As +qa.radiologist.a visit /radiology,Loads.,,#NAME?,Radiology,All staff created,,,,,P1-Setup,Reporting is the radiologist's entire job.,Positive,radiologist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-016,1E RBAC,radiologist is blocked from /lab /pharmacy /hr,1) As +qa.radiologist.a try each,Blocked.,,#NAME?,Lab Pharmacy HR,All staff created,,,,,P1-Setup,Least privilege - access only to what the job needs.,RBAC,radiologist A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-017,1E RBAC,billing_executive reaches finance routes,1) As +qa.billing.a visit /billing /billing/closure /payments /insurance /accounts,All load.,,#NAME?,Finance,All staff created,,,,,P1-Setup,Billing staff need the full revenue cycle.,Positive,billing_executive A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-018,1E RBAC,billing_executive is blocked from /hr and /settings,1) As +qa.billing.a try each,Blocked.,,#NAME?,HR Settings,All staff created,,,,,P1-Setup,Billing staff changing service rates could alter prices to benefit themselves.,RBAC,billing_executive A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-019,1E RBAC,billing_staff has narrower access than billing_executive,1) As +qa.billing2.a visit /billing then /billing/closure,Billing loads. Day closure is NOT in the billing_staff route list - it must be blocked.,,#NAME?,Finance,All staff created,,,,ROUTE_ROLES['/billing/closure'] excludes billing_staff,P1-Setup,Day closure locks the cash books. Only a senior person should be able to close a day.,RBAC,billing_staff A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-020,1E RBAC,accountant reaches /accounts,1) As +qa.accountant.a visit /accounts /accounts/chart-of-accounts /accounts/journal-workbench,All load.,,#NAME?,Accounts,All staff created,,,,,P1-Setup,The accountant needs the ledger.,Positive,accountant A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-021,1E RBAC,accountant is blocked from clinical routes,1) As +qa.accountant.a try /opd /ipd /patients /lab,All blocked.,,#NAME?,Clinical,All staff created,,,,,P1-Setup,Finance staff have no clinical need and no consent basis to view patient records.,RBAC,accountant A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-022,1E RBAC,cfo reaches financial reporting,1) As +qa.cfo.a visit /accounts/financial-statements /accounts/budget /accounts/fixed-assets /analytics/revenue-intelligence,All load.,,#NAME?,Accounts Analytics,All staff created,,,,,P1-Setup,The CFO's whole job is these four screens.,Positive,cfo A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-023,1E RBAC,cfo is blocked from clinical routes,1) As +qa.cfo.a try /opd /ipd /patients,Blocked.,,#NAME?,Clinical,All staff created,,,,,P1-Setup,Seniority is not a clinical need. DPDP purpose limitation applies to the CFO too.,RBAC,cfo A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-024,1E RBAC,hr_manager reaches /hr only,1) As +qa.hr.a visit /hr 2) Then try /opd /billing /accounts,HR loads. The others are blocked.,,#NAME?,HR,All staff created,,,,,P1-Setup,"HR needs staff data, not patient or financial data.",RBAC,hr_manager A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-025,1E RBAC,insurance_executive reaches /insurance,1) As +qa.insurance.a visit /insurance 2) Then try /hr /accounts,Insurance loads. The others are blocked.,,#NAME?,Insurance,All staff created,,,,,P1-Setup,"Insurance desk staff work claims, nothing else.",RBAC,insurance_executive A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-026,1E RBAC,mrd_officer reaches /mrd,1) As +qa.mrd.a visit /mrd 2) Then try /billing /hr,MRD loads. The others are blocked.,,#NAME?,MRD,All staff created,,,,,P1-Setup,MRD sees every record by definition - so everything else must be closed to them.,RBAC,mrd_officer A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-027,1E RBAC,Everyone reaches the core routes,1) As each of the 16 roles visit /dashboard /modules /settings/profile /inbox /my-hr,All load for every role.,,All 16 logins,All,All staff created,,,,coreRoutes are open to every authenticated user,P1-Setup,Every employee needs their own profile and payslips regardless of role.,Positive,all 16,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-028,1E RBAC,Non-super-admin is blocked from /platform,1) As +qa.admin.a (hospital_admin) navigate to /platform,Blocked. Platform is your SaaS console not the hospital's.,,#NAME?,Platform,All staff created,,,,,P1-Setup,A hospital admin reaching the platform console could change their own plan or see other hospitals.,RBAC,hospital_admin A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-029,1E RBAC,Every role is blocked from /platform,1) Try /platform as all 16 non-super-admin roles,All blocked.,,All 16 logins,Platform,All staff created,,,,,P1-Setup,"One role slipping through exposes every hospital on the system, not just this one.",RBAC,all 16,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-030,1E RBAC,super_admin reaches /platform,1) Log in as +qa.superadmin 2) Visit /platform and its sub-routes,All load.,,#NAME?,Platform,Super admin exists,,,,,P1-Setup,You need the console to run the business.,Positive,super_admin,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-031,1E RBAC,Blocked route does not flash data before redirecting,1) As +qa.nurse.a navigate to /accounts 2) Watch closely and check the network tab,No financial data renders even briefly and no data request is made.,,#NAME?,Accounts,All staff created,,,,A client-only redirect that still fetches is a real leak,P1-Setup,A screen that renders then redirects has already sent the data to the browser - it is a leak even if the user only sees it for a moment.,Negative,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-032,1E RBAC,Role change takes effect on next login,1) Change +qa.nurse.a from nurse to billing_executive 2) Have them log out and back in 3) Try /billing,Billing now accessible; nursing routes now blocked.,,#NAME?,All,All staff created,,,,Change it back afterwards,P1-Setup,Permissions that do not update leave a transferred employee with their old access indefinitely.,Positive,hospital_admin A,users.role,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-033,1E RBAC,Custom permission blob overrides the static role,1) Settings > Roles 2) Grant nurse view access to billing 3) As the nurse open /billing,"Access granted. When a permissions row exists it is used INSTEAD of the static role list, not in addition.",,nurse + billing view,Billing,Roles screen,,,,hasAccess uses ONLY permissions when a row exists - no static fallthrough,P1-Setup,"Hospitals genuinely need custom roles. But because the blob replaces rather than extends the defaults, a partially-filled blob silently removes access the role used to have.",Positive,hospital_admin A,role_permissions,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-034,1E RBAC,Empty permission blob denies everything,1) Set a role's permissions to an empty object 2) Log in as that role 3) Try any module route,All module routes denied. Only core routes remain.,,empty permissions,All,Roles screen,,,,Deliberate - a role with zero permissions is denied not defaulted,P1-Setup,"If an empty permission set fell back to defaults, revoking someone's access would silently do nothing.",Negative,nurse A,role_permissions,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-035,1E RBAC,Revoking a permission removes access,1) Remove billing view from the modified nurse role 2) Log in again 3) Try /billing,Blocked again.,,nurse minus billing,Billing,Roles screen,,,,,P1-Setup,Granting access is easy. Revoking it is what matters when someone changes job or leaves.,Negative,nurse A,role_permissions,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-036,1E RBAC,Per-user override withholds from one person,1) Apply a user_permission_overrides withhold to one doctor 2) Log in as them 3) Compare with the other doctor,Only the overridden user loses that access.,,#NAME?,All,Roles screen,,,,,P1-Setup,Sometimes one individual needs restricting without changing the whole role - e.g. a doctor under investigation.,Positive,doctor A,user_permission_overrides,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-037,1E RBAC,URL with a query string resolves the same,1) As +qa.nurse.a try /accounts?tab=journals,Blocked identically to /accounts.,,#NAME?,Accounts,All staff created,,,,Path is normalised by splitting on ?,P1-Setup,Appending a query string is the most obvious way to try to slip past a naive path check.,Negative,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-038,1E RBAC,Trailing slash resolves the same,1) As +qa.nurse.a try /accounts/,Blocked identically.,,#NAME?,Accounts,All staff created,,,,,P1-Setup,Same reasoning - path normalisation must be complete or it is not a control.,Negative,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-039,1E RBAC,Unknown route shows 404 not a crash,1) Visit /this-route-does-not-exist,Clean NotFound page. No stack trace or blank screen.,,None,,None,,,,,P1-Setup,A stack trace on screen tells an attacker what framework and structure you use.,Negative,doctor A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-040,1E RBAC,Sidebar hides routes the role cannot open,1) As each role inspect the sidebar,Only permitted modules appear. No visible link leads to a blocked page.,,All 16 logins,All,All staff created,,,,,P1-Setup,Showing a link that then denies access makes the product feel broken and generates support calls.,Positive,all 16,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-041,1E RBAC,/modules grid matches actual access,1) As +qa.nurse.a open /modules 2) Click every tile shown,Every tile shown actually opens.,,#NAME?,All,All staff created,,,,,P1-Setup,The modules grid is how a new user explores the product. Dead tiles destroy confidence immediately.,Positive,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-042,1E RBAC,Quality routes with non-enum roles,"1) Check whether quality_officer or quality_manager can be assigned 2) If not, verify who can open /quality /nabh/compliance /ipc/dashboard",Document who can actually reach these. ROUTE_ROLES names roles that are not in the app_role enum.,,quality routes,Quality,All staff created,,,,Directly related to TC-P1D-015,P1-Setup,The Quality module names quality_officer as its user but that role cannot exist. Either the enum is missing values or the routing is wrong - both are real defects.,Negative,hospital_admin A,enum_range(NULL::app_role),e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-043,1E RBAC,Blood Bank / CSSD / Dialysis role reachability,"1) Confirm blood_bank_technician, cssd_technician and dialysis_technician cannot be assigned 2) Determine who can actually open /blood-bank /cssd /dialysis",Document the effective access.,,specialty routes,Specialty modules,All staff created,,,,,P1-Setup,These modules list a specialist as the intended user but only admins can reach them - meaning the actual technician cannot do their job.,Negative,hospital_admin A,enum_range(NULL::app_role),e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-044,1E RBAC,Direct navigation matches sidebar visibility,1) For 5 roles compare what the sidebar shows against what direct URL entry allows,The two agree exactly in both directions.,,5 roles,All,All staff created,,,,,P1-Setup,"A route hidden in the nav but reachable by URL is security by obscurity, which is no security.",Negative,5 roles,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1E-045,1E RBAC,Browser Back after a block does not grant access,1) As nurse open /nursing 2) Try /accounts (blocked) 3) Press Back twice,Never lands on an accessible /accounts.,,#NAME?,Accounts,All staff created,,,,,P1-Setup,History navigation is a classic way client-side guards get bypassed.,Negative,nurse A,None,e2e/phase-01-foundation/P1E.rbac-route-matrix.spec.ts,
TC-P1F-001,1F Tab/Action Gates,Receptionist cannot see Complete & Bill,1) As +qa.reception.a open an OPD consultation 2) Look for the Complete & Bill action,The action is not rendered.,,#NAME?,OPD Billing,Roles configured,,,,"hasActionAccess('opd','complete_bill')",P1-Setup,Only a doctor should be able to declare a consultation complete - it closes the clinical record and triggers billing.,RBAC,receptionist A,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-002,1F Tab/Action Gates,Receptionist cannot see Admit Patient,1) As +qa.reception.a open a consultation 2) Look for the Admit action,Not rendered.,,#NAME?,OPD IPD,Roles configured,,,,"hasActionAccess('opd','admit_patient')",P1-Setup,Admission is a clinical decision with major financial consequences for the patient.,RBAC,receptionist A,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-003,1F Tab/Action Gates,Doctor CAN see Complete & Bill and Admit,1) As +qa.doctor.a open a consultation,Both actions are rendered.,,#NAME?,OPD IPD Billing,Roles configured,,,,,P1-Setup,The counterpart to the two cases above - the gate must permit as reliably as it denies.,Positive,doctor A,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-004,1F Tab/Action Gates,Nurse cannot approve a discount,1) As +qa.nurse.a open the discount approvals inbox if reachable,Either not reachable or the Approve action is absent.,,#NAME?,Billing,Discount rules set,,,,,P1-Setup,Discount approval is a financial authority. Anyone able to approve can give money away.,RBAC,nurse A,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-005,1F Tab/Action Gates,Tabs within a module are individually gated,1) As +qa.reception.a open OPD 2) List the visible tabs 3) Repeat as +qa.doctor.a,The two see different tab sets appropriate to their role.,,reception vs doctor,OPD,Roles configured,,,,hasTabAccess from src/lib/tabPermissions.ts,P1-Setup,A receptionist seeing the clinical examination tab can read and alter medical findings.,RBAC,receptionist vs doctor A,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-006,1F Tab/Action Gates,Platform entitlement floor overrides even super_admin,1) Identify an action gated by the platform entitlement floor 2) Attempt it as super_admin,Still withheld. The floor cannot be overridden locally.,,#NAME?,All,Platform config,,,,tabPermissions.ts lines ~557-666,P1-Setup,"This is how you enforce plan limits. If a super admin could bypass it, entitlements would be unenforceable.",Negative,super_admin,hospital_module_entitlements,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-007,1F Tab/Action Gates,Hidden action cannot be triggered by other means,"1) As +qa.reception.a with Complete & Bill hidden, attempt the same operation via keyboard shortcut or a crafted request",Rejected server-side as well as hidden in the UI.,,#NAME?,OPD Billing,Roles configured,,,,Hiding a button is not access control unless the server also refuses,P1-Setup,A button hidden only in the UI is not a permission - anyone who opens DevTools can still call the underlying operation.,Negative,receptionist A,opd_encounters; bills - no row created,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-008,1F Tab/Action Gates,Export actions are gated,1) As several roles look for export or download actions on patient and financial lists,Only permitted roles see them.,,several roles,All,Roles configured,,,,,P1-Setup,Bulk export is how data leaves an organisation. It needs tighter control than viewing.,RBAC,several,role_permissions,MANUAL-ONLY,
TC-P1F-009,1F Tab/Action Gates,Delete actions are gated,1) As non-admin roles look for delete actions on master data,Not available to non-admin roles.,,non-admin roles,Settings,Roles configured,,,,,P1-Setup,Deleted master data breaks every historical record that referenced it.,RBAC,several,role_permissions,MANUAL-ONLY,
TC-P1F-010,1F Tab/Action Gates,Granular view/create/edit/delete permissions work,1) Grant a role view-only on a module 2) Confirm it can read but not create or edit,Read works; write actions are absent.,,view-only role,All,Roles screen,,,,,P1-Setup,"Many roles legitimately need to see without changing - an auditor, a trainee, a referring doctor.",Positive,custom role,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-011,1F Tab/Action Gates,Legacy string permission format still resolves,1) If any role has a legacy 'r' or 'rw' string permission verify it resolves,'r' grants view; 'rw' grants view/create/edit/delete.,,legacy blob,All,Roles screen,,,,Backward compatibility path in hasPermission,P1-Setup,"Older hospitals will have legacy permission blobs. If they stop resolving, existing customers lose access overnight.",Positive,custom role,role_permissions,e2e/phase-01-foundation/P1F.action-gates.spec.ts,
TC-P1F-012,1F Tab/Action Gates,Legacy module parent fallback works,1) Check a specialty module such as /dialysis with a blob that only names its legacy parent,Resolves via LEGACY_MODULE_PARENT.,,legacy blob,Specialty,Roles screen,,,,,P1-Setup,Specialty modules used to inherit a parent bucket. Breaking the fallback silently removes access for every existing customer.,Positive,custom role,role_permissions,MANUAL-ONLY,
TC-P1G-001,1G Plan Gating,Professional plan opens its modules,1) As Hospital A (Professional) open the modules included in that plan,All load.,,Hospital A,All,Plan set,,,,,P1-Setup,The customer must get what they paid for.,Positive,hospital_admin A,hospital_module_entitlements,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-002,1G Plan Gating,Starter plan blocks higher-tier modules,1) As Hospital B (Starter) try to open a Professional-only module,Blocked by ModuleGate with an upgrade message rather than a raw error.,,Hospital B,All,Plan set,,,,,P1-Setup,"If the plan is not enforced, nobody has any reason to upgrade.",Negative,hospital_admin B,hospital_module_entitlements,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-003,1G Plan Gating,Plan gate applies to direct URL entry,1) As Hospital B paste a blocked module URL directly,Blocked identically to clicking.,,Hospital B,All,Plan set,,,,ModuleGate wraps the AppShell Outlet so every route is enforced,P1-Setup,A gate that only works from the menu is not a gate.,Negative,hospital_admin B,None,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
